city_long,city_slug,city,meetup_url,gdocs_id,phrase
"Washington DC","washington-dc",DC,http://www.meetup.com/ACM-DC,"#","City events on the future of the computing sciences."
"Los Angeles","los-angeles",LA,http://www.meetup.com/ACM-LA,"#","City events on the future of the computing sciences."
"Boston","boston",BOS,http://www.meetup.com/ACM-Boston,"#","City events on the future of the computing sciences."
"Chicago","chicago",CHI,http://www.meetup.com/ACM-Chicago,"1Xv9HcB3Z6VunocN79vWfPX4T87oPpxEFDqn6Va7807M","City events on the future of the computing sciences."
"New York City","new-york-city",NYC,http://www.meetup.com/ACM-NY,"#","City events on the future of the computing sciences."
"Pittsburgh","pittsburgh",PGH,http://www.meetup.com/ACM-Pittsburgh,"#","City events on the future of the computing sciences."
"Greenville","greenville",GSP,https://www.meetup.com/ACM-Greenville,"#","City events on the future of the computing sciences."
"Cleveland Area","cleveland",CLE,https://www.meetup.com/Northeast-Ohio-ACM-Chapter-Meetup,"#","City events on the future of the computing sciences."
